職缺名稱,職缺連結,公司名稱,工作地區,薪資待遇
【IT】數據應用高級工程師(新竹),https://www.104.com.tw/job/7ith6?jobsource=jolist_a_relevance,神達電腦股份有限公司,新竹縣寶山鄉,待遇面議
軟體高階主管,https://www.104.com.tw/job/7ta4m?jobsource=jolist_a_relevance,量算科技有限公司,台北市信義區,"月薪100,000元以上"
資深後端工程師,https://www.104.com.tw/job/76q8x?jobsource=jolist_a_relevance,同步科技股份有限公司,台北市松山區,"月薪60,000~120,000元"
軟體工程師(總公司)#03110017,https://www.104.com.tw/job/6c13d?jobsource=jolist_a_relevance,環興科技股份有限公司,台北市松山區,待遇面議
資訊軟體工程師,https://www.104.com.tw/job/7ywv9?jobsource=jolist_a_relevance,愛地雅工業股份有限公司,台中市梧棲區,"月薪33,000元以上"
【技術部】數據分析師-分析、演算,https://www.104.com.tw/job/7s721?jobsource=jolist_a_relevance,聯合線上股份有限公司,台北市信義區,待遇面議
BI工程師,https://www.104.com.tw/job/77yfs?jobsource=jolist_a_relevance,台南企業股份有限公司,台北市中正區,待遇面議
PLC / SCADA / 大數據及AI應用  規劃工程師 & 儲備主管 (南部地區),https://www.104.com.tw/job/7w46u?jobsource=jolist_a_relevance,穎杰科技股份有限公司,高雄市左營區,待遇面議
"【數位金融】資料科學工程師 (數數發中心,DDT)",https://www.104.com.tw/job/6v7pz?jobsource=jolist_a_relevance,國泰世華商業銀行股份有限公司_人力資源部,台北市信義區,待遇面議
軟體專案管理師(U003),https://www.104.com.tw/job/7xalc?jobsource=jolist_a_relevance,樂夠科技有限公司,台中市西屯區,待遇面議
資深程式設計師,https://www.104.com.tw/job/2fwlt?jobsource=jolist_a_relevance,震旦集團_震旦行股份有限公司,台北市信義區,"月薪40,000~55,000元"
語意大數據產品開發PM,https://www.104.com.tw/job/7b7xx?jobsource=jolist_a_relevance,亞洲指標數位行銷顧問股份有限公司,台北市松山區,"月薪35,000~60,000元"
IT 經理,https://www.104.com.tw/job/7s1if?jobsource=jolist_a_relevance,DIGITIMES INC._大椽股份有限公司,台北市松山區,待遇面議
醫學研究部_統計分析師,https://www.104.com.tw/job/7upr8?jobsource=jolist_a_relevance,中山醫學大學附設醫院,台中市南區,"月薪37,600元以上"
"【2023校園徵才】資料科學工程師 (數數發中心,DDT)",https://www.104.com.tw/job/7veyg?jobsource=jolist_a_relevance,國泰世華商業銀行股份有限公司_人力資源部,台北市信義區,待遇面議
國際交流暨研究組研究助理,https://www.104.com.tw/job/68jk4?jobsource=jolist_a_relevance,財團法人兩岸交流遠景基金會,台北市中正區,"月薪36,312~42,720元"
經管處專員,https://www.104.com.tw/job/7zxwe?jobsource=jolist_a_relevance,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣羅東鎮,"月薪27,100~28,100元"
